event_id,time,space,variable,speed,acc,duration
110,7,1.437,Acceleration,22.87316,0.21303104,7
110,8,2.826,Acceleration,32.956585,0.19843242,18
110,17,1.628,Brake,34.172596,0.21307753,6
110,21,1.61,Brake,22.233334,0.23147562,5
110,24,2.053,Brake,29.567877,0.20248024,4
110,30,1.682,Brake,27.093334,0.6628155,10
210,5,0.004,Brake,24.003334,0.29571766,14
210,7,2.193,Brake,21.893332,0.22943595,2
210,23,0.183,Acceleration,28.266483,0.22531624,12
210,23,0.276,Acceleration,33.603333,0.2182192,9
210,23,0.131,Acceleration,32.623333,0.16759774,4
210,24,1.399,Acceleration,26.984312,0.1822407,4
210,24,1.627,Acceleration,27.131006,0.18498763,3
210,24,1.846,Brake,24.754534,0.29439995,6
210,24,1.847,Acceleration,29.733334,0.21951959,4
210,24,1.948,Acceleration,29.733334,0.18048982,6
210,27,2.039,Acceleration,28.753412,0.20317751,6
310,2,1.702,Brake,30.362446,0.20458896,7
310,4,2.25,Brake,27.303333,0.24677134,3
310,22,2.868,Brake,31.543335,0.22841641,14
310,23,1.319,Acceleration,30.773335,0.21006168,5
310,23,2.962,Acceleration,33.693336,0.31815153,16
310,24,0.482,Brake,24.263334,0.36097944,14
410,16,2.119,Acceleration,30.773335,0.21006168,5
410,17,1.282,Brake,24.263334,0.36097944,14
410,26,2.163,Acceleration,13.533334,0.33276734,3
410,27,1.869,Brake,24.343445,0.30950662,8
410,28,1.42,Brake,25.713331,0.22229816,4
410,28,1.712,Brake,28.452478,0.29094833,14
410,28,1.713,Brake,24.743334,0.4398377,14
410,29,1.869,Brake,9.703333,0.42318228,13
410,29,1.594,Brake,25.916777,0.85155004,14
410,29,1.594,Brake,22.244234,1.0166707,5
410,30,1.759,Acceleration,8.020572,0.26071215,3
410,30,2.164,Acceleration,15.123334,0.29367828,5
410,30,2.165,Acceleration,16.371725,0.26843792,10
410,30,1.492,Brake,32.323334,0.2896105,14
510,7,1.07,Brake,28.153334,0.26206705,8
510,19,1.106,Acceleration,23.194708,0.27656206,4
510,19,1.428,Acceleration,24.397495,0.17851141,15
510,20,2.866,Acceleration,30.39829,0.22753417,14
510,20,2.591,Acceleration,28.074186,0.22106491,3
510,26,0.735,Acceleration,18.889723,0.26778725,18
